Day,Portfolio_Value
0,100000.00
1,98909.88
2,99291.59
3,99154.17
4,99483.98
5,99704.19
6,99752.19
7,99885.35
8,100239.66
9,100127.15
10,100372.61
11,100711.53
12,101586.51
13,101648.71
14,102048.71
15,101741.35
16,101732.39
17,101606.78
18,102379.44
19,102334.49
20,102427.33
21,102499.06
22,102418.42
23,102953.36
24,103451.36
25,103204.64
26,103537.23
27,103837.20
28,104224.09
29,103984.78
30,104096.75
31,104315.81
32,104444.25
33,104318.83
34,105347.66
35,104982.40
36,105572.05
37,105610.47
38,105096.14
39,104859.00
40,104731.47
41,104874.85
42,105251.58
43,104270.32
44,104119.51
45,104532.60
46,103765.88
47,103698.44
48,103822.55
49,104105.01
50,103865.34
51,103327.79
52,103699.04
53,104205.71
54,104595.12
55,104477.64
56,104457.41
57,104969.05
58,104426.18
59,104490.96
60,104369.25
61,104237.86
62,104672.74
63,104959.46
64,104403.81
65,104797.95
66,104164.29
67,104417.75
68,104261.71
69,104519.22
70,105002.21
71,104959.38
72,105121.19
73,105161.30
74,105575.70
75,106024.30
76,106187.92
77,105707.23
78,105884.07
79,105954.12
80,106224.55
81,107003.78
82,106602.51
83,106074.95
84,106085.89
85,105676.61
86,105254.16
87,104762.83
88,105460.10
89,106015.23
90,105649.68
91,105545.43
92,105613.15
93,104939.06
94,105233.15
95,105238.21
96,105388.60
97,105595.85
98,105857.75
99,104891.66
100,104934.85
101,104997.57
102,104761.42
103,104746.84
104,104641.06
105,104443.12
106,103920.55
107,104117.60
108,104446.14
109,104597.95
110,104422.57
111,104719.34
112,103957.68
113,104094.63
114,104218.27
115,104769.47
116,104546.60
117,104693.76
118,104911.21
119,105064.02
120,104506.53
121,104580.62
122,104864.80
123,104587.67
124,104720.76
125,104890.50
126,105258.05
127,105353.63
128,105151.17
129,105116.00
130,104993.98
131,105403.09
132,105084.50
133,105017.11
134,104648.08
135,105037.96
136,104689.29
137,104175.54
138,104102.80
139,103994.30
140,104491.64
141,104520.06
142,104977.89
143,105583.46
144,105918.28
145,106662.77
146,106535.18
147,107313.63
148,107287.69
149,107184.63
150,107351.99
151,107302.93
152,107359.32
153,107583.25
154,107061.95
155,106940.39
156,106475.39
157,106971.51
158,106473.12
159,106231.59
160,106105.24
161,105284.54
162,104893.76
163,105315.95
164,105355.10
165,105529.37
166,105784.66
167,105857.45
168,106306.13
169,106056.84
170,106169.64
171,106405.01
172,106022.52
173,106090.75
174,106249.74
175,106563.41
176,106767.33
177,107068.20
178,107024.09
179,107714.77
180,107356.73
181,107425.27
182,107690.87
183,107428.39
184,107967.73
185,108227.01
186,107756.37
187,108741.10
188,109351.54
189,108942.69
190,108982.76
191,109064.12
192,108895.78
193,108872.88
194,108322.65
195,108039.75
196,108121.09
197,107975.71
198,108934.08
199,109381.05
200,109127.64
201,108787.86
202,108568.09
203,108216.94
204,108252.87
205,108221.70
206,108594.74
207,109051.31
208,109383.01
209,110128.28
210,110548.38
211,109883.43
212,109581.23
213,110319.40
214,110186.24
215,109745.66
216,109861.75
217,109418.29
218,109342.81
219,109532.28
220,109512.38
221,109764.49
222,110282.81
223,111394.28
224,111534.84
225,111392.35
226,111962.25
227,112423.99
228,112890.88
229,113545.47
230,114175.46
231,113894.54
232,114156.71
233,114369.32
234,114298.97
235,114349.36
236,114261.87
237,113575.44
238,113757.45
239,113028.21
240,112699.91
241,112160.32
242,112053.49
243,112260.65
244,112193.70
245,112824.12
246,112681.82
247,112937.47
248,113088.29
249,112993.10
250,114308.64
251,113803.47
252,113803.47
